,precision,recall,f1-score,support
Spoof,0.9994422463528141,0.8976080899157822,0.9457919261061399,63882.0
Bonafide,0.5282025389497981,0.9956492182188987,0.690230453838541,7355.0
accuracy,0.9077305332902845,0.9077305332902845,0.9077305332902845,0.9077305332902845
macro avg,0.7638223926513061,0.9466286540673405,0.8180111899723405,71237.0
weighted avg,0.9507882035386982,0.9077305332902845,0.9194059942374736,71237.0
