step,loss
0,0.00483
1,0.01041
2,0.00224
3,0.00326
4,0.00284
5,0.00354
6,0.00263
7,0.0015
8,0.00294
9,0.02734
10,0.00212
11,0.00389
12,0.39746
13,0.00616
14,0.00184
15,0.00277
16,0.00257
17,0.00243
18,0.00261
19,0.00267
20,0.00306
21,0.00329
22,0.00153
23,0.00135
24,0.00532
25,0.00143
26,0.00304
27,0.00198
28,0.00354
29,0.00286
30,0.00212
31,0.00089
32,0.00189
33,0.00272
34,0.00314
35,0.00196
36,0.00161
37,0.00487
38,0.00533
39,0.00427
40,0.00188
41,0.00181
42,0.00103
43,0.00266
44,0.00505
45,0.00307
46,0.00151
47,0.00215
48,0.0034
49,0.00101
50,0.00215
51,0.00388
52,0.00138
53,0.0016
54,0.0021
55,0.0012
56,0.00103
57,0.00236
58,0.00168
59,0.00358
60,0.00177
61,0.00372
62,0.0028
63,0.00127
64,0.00127
65,0.00094
66,0.00108
67,0.00183
68,0.00077
69,0.00153
70,0.0031
71,0.00284
72,0.00095
73,0.00329
74,0.00154
75,0.00539
76,0.00176
77,0.00163
78,0.0026
79,0.00355
80,0.0016
81,0.00178
82,0.00226
83,0.00146
84,0.00286
85,0.00083
86,0.00132
87,0.00175
88,0.00368
89,0.00115
90,0.00172
91,0.00146
92,0.00157
93,0.00204
94,0.00605
95,0.00287
96,0.00419
97,0.00116
98,0.00092
99,0.00281
100,0.00288
101,0.00305
102,0.00151
103,0.00095
104,0.00091
105,0.00251
106,0.00068
107,0.00136
108,0.00086
109,0.00307
110,0.00247
111,0.00218
112,0.00088
113,0.02387
114,0.0022
115,0.00092
116,0.00171
117,0.00091
118,0.00099
119,0.00133
120,0.00079
121,0.00207
122,0.00196
123,0.00328
124,0.00154
125,0.002
126,0.00117
127,0.00162
128,0.00145
129,0.00093
130,0.00249
131,0.00129
132,0.0012
133,2.64854
134,0.0026
135,0.00219
136,0.00408
137,0.00402
138,0.00102
139,0.00169
140,0.00325
141,0.00247
142,0.00303
143,0.00412
144,0.00659
145,0.00928
146,0.00557
147,0.21563
148,0.01945
149,0.03743
150,0.00312
151,0.00217
152,0.00134
153,0.00218
154,0.00231
155,0.00217
156,0.00774
157,0.01452
158,0.00168
159,0.0034
160,0.0029
161,0.00288
162,0.00099
163,0.00393
164,0.00614
165,0.00163
166,0.00169
167,0.00768
168,0.00195
169,0.00208
170,0.00349
171,0.00173
172,0.00237
173,0.00973
174,0.00157
175,0.00205
176,0.00234
177,0.00666
178,0.00523
179,0.00232
180,0.02776
181,0.0055
182,0.00281
183,0.00194
184,0.00092
185,0.00268
186,0.00193
187,0.00109
188,0.002
189,0.00237
190,0.00244
191,0.00391
192,0.00215
193,0.00136
194,0.00434
195,0.00423
196,0.00099
197,0.00435
198,0.00278
199,0.00243
200,0.19751
201,0.00575
202,0.00389
203,0.00499
204,0.0015
205,0.00146
206,0.00515
207,0.00209
208,0.00733
209,0.13097
210,0.00502
211,0.05118
212,0.00489
213,0.00114
214,0.01706
215,0.00381
216,0.00318
217,0.00262
218,0.00414
219,0.0012
220,0.04255
221,0.00115
222,0.01232
223,0.0014
224,0.00369
225,0.00343
226,0.00187
227,0.01442
228,0.0033
229,0.00543
230,0.00084
231,0.00113
232,0.00101
233,0.00707
234,0.00098
235,0.00141
236,0.00273
237,0.00098
238,0.00147
239,0.00068
240,0.00096
241,0.00153
242,1.16988
243,0.00381
244,0.00129
245,0.00333
246,0.00199
247,0.02784
248,0.00677
249,0.00266
250,0.00265
251,0.00136
252,0.00186
253,0.01059
254,0.01037
255,0.00717
256,0.00787
257,0.01438
258,0.00606
259,0.00237
260,0.00454
261,0.00143
262,0.00154
263,0.06918
264,0.00158
265,0.01669
266,0.00159
267,0.01289
268,0.00622
269,0.02149
270,0.00531
271,0.00152
272,0.00136
273,0.00551
274,0.00204
275,0.00082
276,0.00246
277,0.00648
278,0.00725
279,0.00386
280,0.00196
281,0.00473
282,0.00104
283,0.00147
284,0.00239
285,0.00214
286,0.05121
287,0.00113
288,0.0017
289,0.00163
290,0.00361
291,0.00324
292,0.00695
293,0.0023
294,0.01255
295,0.0014
296,0.00462
297,0.01033
298,0.00104
299,0.00203
300,0.00116
301,0.00178
302,0.00808
303,0.0034
304,0.00287
305,0.00072
306,0.00546
307,0.00098
308,0.00103
309,0.00178
310,0.00318
311,0.00678
312,0.00373
313,0.00233
314,0.00069
315,0.00087
316,0.00126
317,0.00108
318,0.00127
319,0.00721
320,0.00089
321,0.00103
322,0.0007
323,0.00408
324,0.00267
325,0.00232
326,0.09336
327,0.00153
328,0.00164
329,0.0017
330,0.0026
331,0.00084
332,0.00126
333,0.00127
334,0.00191
335,0.00101
336,0.00343
337,0.00073
338,0.00206
339,0.00154
340,0.00151
341,0.00151
342,0.00094
343,0.00091
344,0.00152
345,0.00294
346,0.00285
347,0.00219
348,0.00134
349,0.00286
350,0.0024
351,0.00063
352,0.00065
353,0.00092
354,0.00267
355,0.00127
356,0.00096
357,0.00627
358,0.00186
359,0.0008
360,0.00123
361,0.00175
362,0.00088
363,0.00072
364,0.00375
365,0.00105
366,0.00099
367,0.00068
368,0.00153
369,0.00145
370,0.00105
371,0.00073
372,0.00134
373,0.00219
374,0.00059
375,0.00202
376,0.00081
377,0.00179
378,0.00098
379,0.00241
380,0.00194
381,0.00126
382,0.00121
383,0.00065
384,0.00174
385,0.00068
386,0.00093
387,0.0013
388,0.0008
389,0.0016
390,0.00129
391,0.0019
392,0.00119
393,0.00133
394,0.00122
395,0.00066
396,0.00167
397,0.00317
398,0.00039
399,0.0029
400,0.00091
401,0.00114
402,0.00091
403,0.00141
404,0.00064
405,0.00292
406,0.00135
407,0.00085
408,0.00058
409,0.00381
410,0.002
411,0.00067
412,0.00426
413,0.00065
414,0.00059
415,0.00086
416,0.00219
417,0.00195
418,0.00048
419,0.0006
420,0.00082
421,0.01267
422,0.00101
423,0.00122
424,0.00147
425,0.00118
426,0.00058
427,0.00062
428,0.0016
429,0.0006
430,0.00139
431,0.00176
432,0.0012
433,0.00123
434,0.00127
435,0.00162
436,0.00702
437,0.0008
438,0.00518
439,0.00072
440,0.00153
441,0.00046
442,0.00172
443,0.00077
444,0.0009
445,0.00118
446,0.00108
447,0.00156
448,0.00078
449,0.00065
450,0.00092
451,0.0006
452,0.00081
453,0.0006
454,0.00107
455,0.0014
456,0.00071
457,0.0017
458,0.00253
459,0.00248
460,0.00179
461,0.00194
462,0.00098
463,0.00114
464,0.00067
465,0.00168
466,0.00087
467,0.00046
468,0.00122
469,0.00096
470,0.00115
471,0.00087
472,0.00075
473,0.00127
474,0.00128
475,0.00125
476,0.00114
477,0.00078
478,0.00062
479,0.00081
480,0.00067
481,0.0007
482,0.00108
483,0.00095
484,0.00072
485,0.00076
486,0.00049
487,0.00112
488,0.00143
489,0.00142
490,0.00125
491,0.00077
492,0.00996
493,0.00051
494,0.00089
495,0.00051
496,0.00076
497,0.00079
498,0.0009
499,0.00068
500,0.00063
501,0.00046
502,0.00061
503,0.00109
504,0.001
505,0.00186
506,0.00808
507,0.00051
508,0.00063
509,0.00126
510,0.00127
511,0.00073
512,0.00101
513,0.00072
514,0.00209
515,0.00097
516,0.0012
517,0.0009
518,0.00197
519,0.0013
520,0.00067
521,0.00132
522,0.00047
523,0.00179
524,0.00066
525,0.00087
526,0.00061
527,0.0013
528,0.0018
529,0.00131
530,0.00081
531,0.00069
532,0.00162
533,0.00056
534,0.00424
535,0.00179
536,0.00056
537,0.00794
538,0.00117
539,0.00056
540,0.00108
541,0.00088
542,0.00048
543,0.02003
544,0.00068
545,0.00084
546,0.00122
547,0.01349
548,0.00179
549,0.00086
550,0.00143
551,0.00146
552,0.00097
553,0.00407
554,0.00073
555,0.00134
556,0.00066
557,0.00055
558,0.00036
559,0.00096
560,0.00097
561,0.01512
562,0.00064
563,0.0007
564,0.00129
565,0.00036
566,0.00064
567,0.00648
568,0.00194
569,0.00095
570,0.00074
571,0.00041
572,0.00062
573,0.00092
574,0.00106
575,0.00104
576,0.00076
577,0.00564
