step,loss
0,0.00019
1,0.00014
2,0.00019
3,0.00017
4,0.00019
5,9e-05
6,0.00018
7,0.00015
8,0.00011
9,0.00011
10,0.0001
11,0.00012
12,0.00014
13,0.00024
14,0.00034
15,0.0001
16,0.00011
17,0.0002
18,0.00013
19,0.00026
20,0.00021
21,0.00014
22,0.00055
23,0.00014
24,0.00018
25,0.00024
26,0.00013
27,0.00029
28,0.00019
29,0.00027
30,0.00547
31,0.00015
32,0.00014
33,0.00023
34,0.00013
35,0.00012
36,0.00015
37,0.00017
38,0.00025
39,0.00018
40,0.00042
41,0.0004
42,0.00022
43,0.0002
44,0.00025
45,0.00023
46,0.00017
47,0.00028
48,0.00176
49,0.0001
50,0.00205
51,0.00035
52,9e-05
53,0.00031
54,0.00035
55,9e-05
56,0.00018
57,0.00012
58,0.00021
59,0.00017
60,0.00014
61,0.00014
62,0.0002
63,0.00012
64,0.00015
65,0.00016
66,0.00041
67,8e-05
68,0.00021
69,0.00027
70,0.00035
71,0.00029
72,0.00125
73,0.00012
74,0.00021
75,0.00033
76,0.00017
77,0.00017
78,0.00025
79,0.00015
80,0.00018
81,0.00011
82,0.00011
83,0.00019
84,0.00011
85,0.00019
86,0.00015
87,0.00017
88,8e-05
89,0.00027
90,0.00044
91,0.00035
92,9e-05
93,0.00015
94,0.00015
95,0.09157
96,0.00021
97,0.00027
98,0.00016
99,0.00031
100,0.00034
101,0.0003
102,0.00016
103,0.00031
104,0.00016
105,7e-05
106,0.00017
107,0.00026
108,0.00011
109,0.00038
110,8e-05
111,0.00011
112,0.00011
113,8e-05
114,0.00022
115,0.00018
116,0.24233
117,0.00015
118,0.0001
119,0.00019
120,0.00043
121,0.00013
122,0.00014
123,0.00015
124,0.0002
125,0.00013
126,0.00012
127,0.00019
128,0.00015
129,0.00022
130,9e-05
131,0.00021
132,0.00016
133,0.00019
134,0.00031
135,0.00015
136,0.00014
137,0.0001
138,0.00011
139,0.01015
140,0.00016
141,0.00017
142,0.00042
143,0.00016
144,0.00019
145,0.00014
146,0.00012
147,0.00026
148,0.00016
149,0.01358
150,0.0002
151,0.00015
152,0.00015
153,0.00013
154,0.00014
155,0.0001
156,0.00013
157,0.00019
158,0.00014
159,0.01285
160,0.00018
161,0.00012
162,0.00015
163,0.00024
164,0.00028
165,0.0001
166,0.00715
167,0.00013
168,0.00014
169,0.0001
170,0.0002
171,0.00013
172,0.0001
173,0.00018
174,0.00016
175,0.00012
176,0.00029
177,8e-05
178,0.00013
179,0.00017
180,0.00017
181,0.00022
182,0.00022
183,0.00022
184,0.00029
185,0.00037
186,0.00023
187,0.0001
188,0.00027
189,0.00015
190,0.0002
191,9e-05
192,0.00067
193,0.00012
194,0.00019
195,8e-05
196,0.00011
197,0.00011
198,0.00018
199,0.00015
200,0.00012
201,0.00027
202,0.0004
203,7e-05
204,0.00029
205,0.00024
206,0.0001
207,9e-05
208,7e-05
209,0.00015
210,0.00012
211,0.00017
212,0.00034
213,0.00012
214,0.00035
215,0.00028
216,0.00016
217,0.00023
218,0.00025
219,0.00021
220,0.00031
221,9e-05
222,0.00015
223,0.00019
224,0.00018
225,0.00016
226,7e-05
227,8e-05
228,0.00011
229,9e-05
230,0.00013
231,0.00048
232,0.00011
233,0.00016
234,0.00012
235,0.00037
236,8e-05
237,0.00021
238,0.00027
239,0.00011
240,0.00022
241,0.00016
242,0.00048
243,0.00019
244,0.00038
245,0.00042
246,0.00021
247,0.0001
248,0.00012
249,0.0002
250,8e-05
251,0.00013
252,0.00031
253,0.00015
254,0.0002
255,0.00025
256,0.00013
257,0.00025
258,0.00022
259,0.00032
260,7e-05
261,9e-05
262,0.06996
263,0.00018
264,0.00016
265,0.00013
266,0.00011
267,0.00201
268,0.00066
269,9e-05
270,0.00017
271,0.00033
272,0.00102
273,0.00085
274,0.00022
275,9e-05
276,0.00012
277,8e-05
278,9e-05
279,0.00673
280,9e-05
281,0.00023
282,0.00028
283,0.00023
