step,loss
457,0.00055
458,0.0002
459,0.0003
460,0.00023
461,0.00096
462,0.00033
463,0.00029
464,0.00023
465,0.0001
466,0.00023
467,0.00032
468,0.00022
469,0.00095
470,0.00044
471,0.00073
472,0.00017
473,0.00017
474,0.0002
475,0.00026
476,0.00047
477,0.00018
478,0.00066
479,0.00045
480,0.00127
481,0.00042
482,0.00069
483,0.00023
484,0.00024
485,0.00051
486,0.00046
487,0.00058
488,0.00021
489,0.00046
490,0.00015
491,0.00017
492,0.00028
493,0.0002
494,0.00036
495,0.00053
496,0.00054
497,0.00044
498,0.00026
499,0.00018
500,0.00044
501,0.00045
502,0.00029
503,0.00016
504,0.00011
505,0.00051
506,0.00014
507,0.00018
508,0.00016
509,0.00016
510,0.00041
511,0.00264
512,0.0007
513,0.0002
514,0.00031
515,0.00038
516,0.00043
517,0.00081
518,0.00014
519,0.00066
520,0.0003
521,0.00032
522,0.00017
523,0.14142
524,0.00035
525,0.00019
526,0.00039
527,0.00029
528,0.00043
529,0.00019
530,0.0004
531,0.0004
532,0.0003
533,0.07195
534,0.00051
535,0.00039
536,0.00024
537,0.00029
538,0.00024
539,0.00015
540,0.00055
541,0.00086
542,0.00099
543,0.0001
544,0.00017
545,0.00017
546,0.00084
547,0.00029
548,0.00041
549,0.00024
550,0.00035
551,0.00158
552,0.00046
553,0.00012
554,0.00025
555,8e-05
556,0.02329
557,0.00041
558,0.00015
559,0.00055
560,0.00044
561,0.00023
562,0.00032
563,0.00113
564,0.00015
565,0.00026
566,0.00052
567,0.0004
568,0.00474
569,0.00025
570,0.00015
571,0.00012
572,0.00021
573,0.00053
574,0.00026
575,0.0003
576,0.00071
577,0.00047
578,0.00017
579,0.00028
580,0.00019
581,0.00017
582,0.00035
583,0.00053
584,0.00052
585,0.00024
586,0.00086
587,0.00022
588,0.00024
589,0.00032
590,0.00062
591,0.00032
592,0.00024
593,0.00039
594,0.0003
595,0.00029
596,0.00076
597,0.00039
598,0.00396
599,0.00021
600,0.00067
601,0.00645
602,0.00018
603,8e-05
604,0.0005
605,0.00041
606,0.00019
607,0.00028
608,0.00026
609,0.00028
610,0.00041
611,0.00029
612,0.00045
613,0.00013
614,0.00036
615,0.00031
616,0.00023
617,0.00041
618,0.00077
619,0.00015
620,0.00081
621,0.00031
622,0.00021
623,0.0003
624,0.00023
625,0.01468
626,0.00021
627,0.00042
628,0.00029
629,0.00029
630,0.00015
631,0.0004
632,0.0002
633,0.00018
634,0.00015
635,0.00052
636,0.00015
637,0.00017
638,0.00023
639,0.00014
640,0.00013
641,0.00012
642,0.0009
643,0.00034
644,0.00049
645,0.00032
646,0.00025
647,0.00015
648,0.00041
649,0.00015
650,0.00023
651,0.00073
652,0.16378
653,0.00033
654,0.00012
655,0.00033
656,0.00013
657,0.00028
658,0.00013
659,0.00021
660,0.00061
661,0.00015
662,0.00022
663,0.00035
664,0.00028
665,0.00016
666,0.00223
667,0.0004
668,0.00023
669,0.00016
670,0.00039
671,0.0002
672,0.00064
673,0.00025
674,0.00081
675,0.00028
676,0.00019
677,0.00056
678,0.00021
679,0.00032
680,0.00016
681,0.00024
682,0.00059
683,0.00013
684,0.00054
685,0.00014
686,0.00062
687,0.00045
688,0.11304
689,0.00012
690,0.0003
691,0.00057
692,0.00033
693,0.00071
694,0.00013
695,0.00024
696,0.00025
697,0.00066
698,0.00017
699,0.0002
700,0.00029
701,0.00055
702,0.00073
703,0.00175
704,0.00064
705,0.00016
706,0.00042
707,0.00055
708,0.00025
709,0.00037
710,0.00126
711,0.00012
712,0.00016
713,0.00026
714,0.00036
715,0.00032
716,0.00015
717,0.00038
718,0.00021
719,0.00016
720,0.00034
721,0.02016
722,0.00019
723,0.00036
724,0.00597
725,0.00013
726,0.00015
727,0.00024
728,0.00033
729,0.00015
730,0.00038
731,0.00047
732,0.00011
733,0.00513
734,0.00059
735,0.00028
736,0.0003
737,0.0002
738,0.00047
739,0.00015
740,0.00032
741,0.00024
742,0.00012
743,0.0008
744,0.0002
745,0.00027
746,0.00034
747,0.00025
748,0.00027
749,0.00015
750,0.00019
751,0.00146
752,9e-05
753,0.0003
754,0.00023
755,0.00016
756,0.00022
757,0.00011
758,0.00023
759,0.00052
760,0.0001
761,0.00023
762,0.00025
763,0.00068
764,0.00051
765,0.00023
766,0.00012
767,0.00028
768,0.00032
769,0.00018
770,0.0002
771,0.00013
772,0.00038
773,0.00986
774,0.00019
775,0.00015
776,0.00011
777,0.00021
778,0.0001
779,0.00014
780,0.0002
781,0.00021
782,0.00038
783,0.0005
784,0.0018
785,0.00021
786,0.00031
787,0.00024
788,0.02037
789,0.00028
790,0.00012
791,0.00012
792,0.00037
793,0.0004
794,0.00015
795,0.00021
796,0.0004
797,0.0002
798,0.00044
799,0.00042
800,0.00021
801,0.00018
802,0.00048
803,0.00018
804,0.00055
805,0.00018
806,0.00013
807,0.00022
808,0.00034
809,0.00018
810,0.00019
811,0.00014
812,0.00016
813,0.00036
814,0.00041
815,0.00021
816,0.00018
817,0.0003
818,0.00023
819,0.00036
820,0.00063
821,0.00287
822,0.00018
823,0.00021
824,0.00028
825,0.00016
826,0.00126
827,0.00058
828,0.00018
829,0.00041
830,0.00022
831,0.0003
832,0.00012
833,0.00022
834,0.00017
835,0.00042
836,0.00058
837,0.00014
838,0.00074
839,0.0003
840,0.00022
841,0.0011
842,0.00046
843,0.00022
844,0.00028
845,0.0178
846,0.0006
847,0.0003
848,0.00017
849,0.00013
850,0.00038
851,0.0001
852,0.00034
853,0.00012
854,0.0006
855,0.00013
856,0.0004
857,0.00058
858,0.00015
859,0.0001
860,0.00022
861,0.00033
862,0.00045
863,0.00019
864,0.00028
865,0.00035
866,0.00028
867,0.00013
868,0.00118
869,0.00019
870,0.00012
871,0.00025
872,0.00057
873,0.00013
874,0.00048
875,0.00028
876,0.00144
877,0.00049
878,0.00041
879,0.00067
880,0.00035
881,0.00032
882,0.0004
883,0.00026
884,0.00075
885,0.00021
886,0.00013
887,0.00049
888,0.00012
889,0.00033
890,0.00013
891,0.00028
892,0.00108
893,0.00053
894,0.00016
895,0.039
896,0.00025
897,0.00028
898,0.00024
899,0.00013
900,0.00062
901,0.00014
902,0.00025
903,0.00096
904,0.00016
905,0.00017
906,0.0003
907,9e-05
908,0.00018
909,0.00036
910,0.00017
911,0.0001
912,0.00045
913,0.00086
914,0.00026
915,0.0003
916,0.00048
917,0.0001
918,7e-05
919,0.00016
920,0.00034
921,0.00077
922,0.00035
923,0.00022
924,0.00015
925,0.00036
926,0.00021
927,0.00016
928,0.00038
929,0.00014
930,0.00023
931,0.00039
932,0.00147
933,0.00014
934,0.00017
935,0.00022
936,0.00017
937,0.0002
938,0.00066
939,0.00015
940,0.00036
941,0.00015
942,0.00025
943,0.00024
944,0.00054
945,0.00015
946,0.00045
947,0.00027
948,0.00044
949,0.00036
950,0.0001
951,0.00027
952,0.00113
953,0.00041
954,0.00014
955,0.00052
