step,loss
0,0.00341
1,0.00221
2,0.00446
3,0.00345
4,0.00578
5,0.00217
6,0.0067
7,0.00279
8,0.00207
9,0.00297
10,0.02017
11,0.00449
12,0.00612
13,0.00326
14,0.0034
15,0.00395
16,0.00304
17,0.00381
18,0.00322
19,0.00331
20,0.02304
21,0.00515
22,0.00229
23,0.00254
24,0.00245
25,0.00822
26,0.0023
27,0.00348
28,0.00721
29,0.00334
30,0.00331
31,0.00441
32,0.00255
33,0.00308
34,0.00329
35,0.00502
36,0.02941
37,0.00808
38,0.00333
39,0.00164
40,0.00212
41,0.00153
42,0.00222
43,0.00385
44,0.05332
45,0.00199
46,0.00677
47,0.00407
48,0.00157
49,0.00247
50,0.00549
51,0.00163
52,0.00202
53,0.00984
54,0.00321
55,0.0026
56,0.00279
57,0.00507
58,0.00245
59,0.00281
60,0.00461
61,0.01433
62,0.27874
63,0.00296
64,0.00181
65,0.00121
66,0.00541
67,0.00203
68,0.00133
69,0.00111
70,0.0017
71,0.00181
72,0.00373
73,0.00189
74,0.00165
75,0.00233
76,0.00128
77,0.00275
78,0.00257
79,0.00259
80,0.00126
81,0.00119
82,0.00159
83,0.0023
84,0.00139
85,0.0028
86,0.00134
87,0.00273
88,0.00199
89,0.00239
90,0.00182
91,0.00181
92,0.00182
93,0.00199
94,0.0027
95,0.00202
96,0.00149
97,0.00753
98,0.00205
99,0.00125
100,0.01985
101,0.00115
102,0.00134
103,0.00255
104,0.00098
105,0.00243
106,0.00078
107,0.01037
108,0.0012
109,0.00128
110,0.00183
111,0.00108
112,0.00238
113,0.00348
114,0.00138
115,0.00379
116,0.0009
117,0.00401
118,0.00367
119,0.0016
120,0.00152
121,0.0017
122,0.00152
123,0.00114
124,0.26462
125,0.00111
126,0.00164
127,0.00175
128,0.00161
129,0.00126
130,0.00175
131,0.001
132,0.00074
133,0.00136
134,0.00134
135,0.00364
136,0.0008
137,0.00217
138,0.00159
139,0.02757
140,0.00176
141,0.00192
142,0.00068
143,0.03128
144,0.00229
145,0.00087
146,0.01419
147,0.00101
148,0.00152
149,0.02348
150,0.00179
151,0.01518
152,0.00197
153,0.00093
154,0.00169
155,0.00119
156,0.00175
157,0.00118
158,0.04047
159,0.00146
160,0.00161
161,0.00151
162,0.00248
163,0.00188
164,0.00364
165,0.00073
166,0.00225
167,0.00191
168,0.00216
169,0.00328
170,0.03077
171,0.00102
172,0.00095
173,0.0018
174,0.00136
175,0.0005
176,0.00157
177,0.00141
178,0.00094
179,0.00119
180,0.00106
181,0.00224
182,0.00094
183,0.00258
184,0.00111
185,0.00139
186,0.00129
187,0.00458
188,0.00082
189,0.00129
190,0.00201
191,0.0038
192,0.00094
193,0.00363
194,0.00095
195,0.00172
196,0.00153
197,0.00177
198,0.0008
199,0.0013
200,0.00132
201,0.00416
202,0.00236
203,0.00166
204,0.00101
205,0.00194
206,0.00148
207,0.00087
208,0.00209
209,0.00403
210,0.00243
211,0.00247
212,0.00134
213,0.00279
214,0.00293
215,0.00076
216,0.00155
217,0.00101
218,0.00185
219,0.00088
220,0.00185
221,0.00332
222,0.00249
223,0.00196
224,0.00207
225,0.00106
226,0.00201
227,0.00185
228,0.00392
229,0.00111
230,0.00097
231,0.00096
232,0.00095
233,0.00147
234,0.0022
235,0.00099
236,0.00074
237,0.00098
238,0.00109
239,0.00107
240,0.00223
241,0.00094
242,0.00112
243,0.00157
244,0.00155
245,0.00259
246,0.00308
247,0.00099
248,0.00084
249,0.0025
250,0.00092
251,0.00228
252,0.0011
253,0.00132
254,0.00192
255,0.00151
256,0.00122
257,0.00161
258,0.00148
259,0.00137
260,0.00099
261,0.00099
262,0.00213
263,0.0018
264,0.00357
265,0.00183
266,0.00197
267,0.00076
268,0.00137
269,0.00072
270,0.00141
271,0.00178
272,0.00064
273,0.00075
274,0.18977
275,0.00171
276,0.00201
277,0.02078
278,0.69227
279,0.01053
280,0.00411
281,0.00228
282,0.00215
283,0.00225
284,0.45277
285,0.00186
286,0.00412
287,0.00325
288,0.00331
289,0.24214
290,0.00069
291,0.00136
292,0.0018
293,0.00109
294,0.00139
295,0.00214
296,0.33153
297,0.00187
298,0.00255
299,0.00171
300,0.06642
301,0.00062
302,0.0018
303,0.00125
304,0.00412
305,0.1224
306,0.0009
307,0.00459
308,0.00212
309,0.0022
310,0.00454
311,0.00333
312,0.00338
313,0.00083
314,0.00105
315,0.00253
316,0.00223
317,0.15917
318,0.00102
319,0.01953
320,0.00107
321,0.04962
322,0.00087
323,0.00151
324,0.00113
325,0.00082
326,0.00229
327,0.00095
328,0.00123
329,0.00436
330,0.00158
331,0.00197
332,0.00129
333,0.00056
334,0.00057
335,0.00171
336,0.00079
337,0.01081
338,0.0012
339,0.00966
340,0.0017
341,0.00187
342,0.00561
343,0.00161
