step,loss
0,0.65171
1,0.64944
2,0.65024
3,0.93266
4,0.63193
5,0.61445
6,0.59395
7,0.57997
8,0.91522
9,0.91832
10,0.5645
11,0.5491
12,0.54021
13,0.92407
14,0.49721
15,0.90532
16,0.92221
17,0.47211
18,0.90319
19,0.88986
20,0.88725
21,0.88314
22,0.88655
23,1.33252
24,0.94548
25,1.3829
26,0.43925
27,1.84
28,1.79016
29,0.45394
30,0.45466
31,0.47078
32,0.92514
33,0.93091
34,0.93564
35,0.92144
36,0.47065
37,0.45329
38,0.4783
39,1.35775
40,0.85516
41,1.79427
42,0.914
43,0.45862
44,0.44561
45,0.43902
46,1.35739
47,0.90971
48,0.44812
49,0.43461
50,0.43196
51,0.44386
52,0.44098
53,0.4337
54,0.41682
55,0.91536
56,0.4015
57,0.92684
58,0.93916
59,0.93667
60,0.39279
61,0.88818
62,0.94535
63,0.91338
64,0.37002
65,0.9477
66,0.36968
67,0.3586
68,0.36445
69,0.34937
70,0.89901
71,0.33525
72,0.90307
73,0.33314
74,0.92543
75,1.40404
76,0.32312
77,0.33278
78,0.98027
79,0.32878
80,0.31868
81,0.32557
82,0.30885
83,0.93348
84,0.95608
85,0.89828
86,0.32321
87,0.93929
88,1.50654
89,0.93565
90,0.3101
91,0.29913
92,0.95959
93,0.89831
94,0.97224
95,0.91945
96,0.32131
97,0.32241
98,0.31882
99,0.89784
100,0.94107
101,0.91211
102,0.30178
103,0.31206
104,0.93466
105,0.94274
106,1.44866
107,0.31097
108,0.88441
109,0.90873
110,0.32981
111,0.32945
112,0.35312
113,0.92731
114,0.31763
115,0.88532
116,0.33136
117,1.49521
118,0.32275
119,0.84573
120,0.86732
121,0.86447
122,0.31812
123,0.917
124,0.32253
125,0.32677
126,0.95885
127,0.33203
128,0.32448
129,1.45382
130,0.31097
131,0.31233
132,0.32357
133,0.28837
134,0.90674
135,0.90938
136,0.86485
137,0.29515
138,0.84082
139,1.38112
140,0.31687
141,0.81796
142,1.27486
143,0.75397
144,0.73595
145,0.70624
146,0.38968
147,0.41007
148,1.45156
149,0.69951
150,0.67037
151,0.3859
152,0.3214
153,0.7076
154,1.06746
155,0.32507
156,0.25325
157,0.67175
158,0.26271
159,0.70577
160,0.91876
161,0.31865
162,0.34877
163,0.69429
164,0.64853
165,0.36588
166,0.43444
167,1.1976
168,0.66186
169,0.56858
170,1.49347
171,0.88564
172,0.33798
173,0.62947
174,0.51085
175,0.27564
176,0.52948
177,0.28065
178,0.33445
179,0.21268
180,0.2318
181,0.25223
182,0.83934
183,1.0194
184,1.76326
185,0.74035
186,0.28127
187,0.41319
188,0.71351
189,0.60115
190,1.03705
191,0.71115
192,0.52995
193,0.64207
194,0.54737
195,0.36823
196,0.82388
197,0.49828
198,0.61956
199,0.54957
200,0.8722
201,0.36293
202,0.5469
203,0.85285
204,0.47562
205,0.70691
206,1.02622
207,0.96391
208,1.43273
209,0.17091
210,1.42908
211,0.65413
212,0.2586
213,0.25841
214,0.68501
215,0.54277
216,0.60064
217,0.62397
218,0.52967
219,0.57296
