,precision,recall,f1-score,support
Spoof,0.9840648165268696,0.9164240318086472,0.949040713932546,63882.0
Bonafide,0.5454622850332028,0.8711080897348742,0.6708549290613057,7355.0
accuracy,0.9117453008970058,0.9117453008970058,0.9117453008970058,0.9117453008970058
macro avg,0.7647635507800362,0.8937660607717607,0.8099478214969258,71237.0
weighted avg,0.9387804612180285,0.9117453008970058,0.9203188917372265,71237.0
