attack,eer,count
A07,1.28,4914
A09,1.49,4914
A11,1.99,4914
A08,2.2,4914
A10,2.97,4914
A13,3.19,4914
A16,3.5,4914
A14,3.6,4914
A15,5.8,4914
A12,6.96,4914
A19,9.69,4914
A18,13.76,4914
A17,42.25,4914
